file,chars,items,per_1k,diagnosis,symptom,drug,test_name,test_result,isNegated,isFamily,isHistorical,drug_hints,lab_value_hints,wide_candidates,overlaps,bad_candidates,suspicious_diagnoses,errors,risk_score,flags
75,1828,23,12.6,1,11,9,1,1,1,0,1,0,0,0,2,0,0,0,2,overlapping_same_type
76,1255,30,23.9,4,10,5,6,5,0,0,6,1,0,0,0,0,0,0,0,ok
77,1232,19,15.4,5,8,6,0,0,0,0,10,0,0,0,0,0,0,0,0,ok
78,589,5,8.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
79,344,4,11.6,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,ok
80,581,3,5.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
81,462,3,6.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
82,1251,8,6.4,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,lab_names_without_results
83,414,2,4.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
84,1415,8,5.7,4,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,ok
85,611,7,11.5,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,ok
86,859,14,16.3,5,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,lab_names_without_results
87,1177,7,5.9,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,ok
88,964,15,15.6,10,1,4,0,0,0,0,9,0,0,0,0,0,0,0,0,ok
89,1438,10,7.0,5,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,ok
90,235,5,21.3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
91,1163,25,21.5,4,7,2,5,7,5,0,5,1,1,0,0,0,0,0,0,ok
92,612,9,14.7,3,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,ok
93,373,7,18.8,4,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,lab_names_without_results
94,887,20,22.5,1,11,6,1,1,0,0,3,0,1,0,0,0,0,0,0,ok
95,673,7,10.4,0,7,0,0,0,4,0,7,0,0,0,0,0,0,0,0,ok
96,1639,41,25.0,13,5,8,7,8,1,0,11,0,0,0,0,0,0,0,0,ok
97,1255,9,7.2,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,ok
98,499,3,6.0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,ok
99,341,5,14.7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
100,1513,33,21.8,9,4,2,11,7,3,0,4,1,0,0,3,0,0,0,3,"lab_name_result_imbalance,overlapping_same_type"
