type,mention_key,conflict_kind,occurrences,wrong_occurrences,candidate_distribution,locations
CHẨN_ĐOÁN,rung nhi,empty+multiple_codes,25,1,"{""[]"": 16, ""['I48.2']"": 8, ""['I48.0']"": 1}",5.json:5394=[]; 7.json:2334=[]; 14.json:1791=[]; 21.json:219=[]; 24.json:5606=[]; 25.json:4909=[]; 28.json:2683=[]; 29.json:1354=['I48.2']; 29.json:2357=['I48.2']; 42.json:4599=['I48.2']; 43.json:3250=['I48.2']; 43.json:4217=['I48.2']; 44.json:2856=['I48.2']; 44.json:3919=['I48.2']; 45.json:8078=['I48.2']; 46.json:5513=[]; 46.json:5750=[]; 48.json:3184=[]; 58.json:1370=[]; 59.json:253=[]; 61.json:7757=[]; 78.json:2520=[]; 81.json:3865=['I48.0']; 91.json:5714=[]; 91.json:6046=[]
CHẨN_ĐOÁN,rung nhi kich phat,empty_vs_code,3,1,"{""['I48.0']"": 2, ""[]"": 1}",32.json:5389=['I48.0']; 39.json:6494=[]; 65.json:1526=['I48.0']
CHẨN_ĐOÁN,sa sut tri tue,empty_vs_code,14,1,"{""[]"": 13, ""['F00.2*']"": 1}",13.json:1384=[]; 13.json:1815=[]; 18.json:99=['F00.2*']; 42.json:9224=[]; 43.json:8598=[]; 55.json:264=[]; 71.json:4365=[]; 71.json:4494=[]; 76.json:4406=[]; 76.json:5434=[]; 85.json:3732=[]; 85.json:4592=[]; 85.json:4954=[]; 89.json:224=[]
CHẨN_ĐOÁN,soi duong mat trong gan 2 ben,empty_vs_code,2,1,"{""['K80.3', 'K83.0']"": 1, ""[]"": 1}","49.json:6295=['K83.0', 'K80.3']; 59.json:3398=[]"
CHẨN_ĐOÁN,soi ong mat chu,empty+multiple_codes,6,1,"{""['K80.8']"": 1, ""['K80.3']"": 2, ""[]"": 3}",56.json:3527=['K80.8']; 62.json:4420=['K80.3']; 70.json:2747=[]; 80.json:659=['K80.3']; 91.json:2832=[]; 91.json:3679=[]
CHẨN_ĐOÁN,soi than,empty_vs_code,11,2,"{""[]"": 7, ""['N20.0']"": 4}",5.json:5658=[]; 10.json:12435=['N20.0']; 13.json:5187=['N20.0']; 26.json:6191=['N20.0']; 47.json:1583=[]; 61.json:829=[]; 83.json:8968=['N20.0']; 83.json:10647=[]; 85.json:11767=[]; 93.json:3531=[]; 93.json:7395=[]
CHẨN_ĐOÁN,soi tui mat,different_codes,4,2,"{""['K80.2']"": 2, ""['K80.0']"": 2}",26.json:6178=['K80.2']; 48.json:2613=['K80.0']; 56.json:2704=['K80.2']; 61.json:3237=['K80.0']
CHẨN_ĐOÁN,suy giap,empty+multiple_codes,21,1,"{""[]"": 18, ""['E03.8']"": 2, ""['E03.9']"": 1}",5.json:5599=[]; 14.json:1853=[]; 20.json:10399=[]; 21.json:6555=[]; 25.json:4972=[]; 30.json:6425=[]; 31.json:608=[]; 38.json:174=[]; 42.json:4651=['E03.8']; 42.json:5949=['E03.8']; 46.json:5967=[]; 71.json:4484=[]; 73.json:4911=[]; 77.json:9740=[]; 81.json:542=[]; 81.json:3896=['E03.9']; 84.json:9542=[]; 92.json:5172=[]; 93.json:3956=[]; 96.json:5196=[]; 100.json:6559=[]
CHẨN_ĐOÁN,suy ho hap,empty+multiple_codes,7,1,"{""[]"": 5, ""['J96.9']"": 1, ""['J96.0']"": 1}",4.json:12077=[]; 4.json:12243=[]; 4.json:12612=[]; 5.json:5193=['J96.9']; 39.json:581=['J96.0']; 72.json:9201=[]; 72.json:9779=[]
CHẨN_ĐOÁN,suy than,empty_vs_code,3,0,"{""['N19']"": 1, ""[]"": 2}",37.json:3888=['N19']; 51.json:2456=[]; 67.json:2926=[]
CHẨN_ĐOÁN,suy tim,empty_vs_code,16,0,"{""[]"": 2, ""['I50.9']"": 14}",1.json:3223=[]; 4.json:2258=['I50.9']; 10.json:10067=['I50.9']; 11.json:1102=['I50.9']; 12.json:5235=['I50.9']; 25.json:856=[]; 29.json:1344=['I50.9']; 29.json:2347=['I50.9']; 39.json:268=['I50.9']; 39.json:602=['I50.9']; 43.json:3291=['I50.9']; 43.json:4259=['I50.9']; 44.json:2846=['I50.9']; 44.json:3931=['I50.9']; 45.json:8068=['I50.9']; 45.json:9483=['I50.9']
CHẨN_ĐOÁN,tac ruot,empty+multiple_codes,6,3,"{""[]"": 4, ""['C16.9', 'K91.3']"": 1, ""['K91.3']"": 1}","15.json:3947=[]; 41.json:3155=[]; 53.json:7441=[]; 54.json:2108=['K91.3', 'C16.9']; 58.json:5523=['K91.3']; 72.json:9189=[]"
CHẨN_ĐOÁN,tam than phan liet,empty_vs_code,12,1,"{""[]"": 11, ""['F20.8']"": 1}",3.json:4745=[]; 4.json:3795=[]; 11.json:1400=[]; 17.json:154=[]; 23.json:7758=[]; 30.json:7648=[]; 40.json:2014=[]; 52.json:7391=[]; 81.json:438=[]; 90.json:6878=['F20.8']; 95.json:5747=[]; 99.json:8708=[]
CHẨN_ĐOÁN,tang huyet ap,empty+multiple_codes,148,5,"{""[]"": 105, ""['I10']"": 42, ""['I15.0']"": 1}",1.json:189=[]; 1.json:3025=[]; 2.json:3249=[]; 2.json:4505=[]; 2.json:4843=['I10']; 2.json:5617=['I10']; 3.json:2623=[]; 4.json:7291=[]; 4.json:8478=[]; 5.json:4408=['I10']; 5.json:5981=[]; 5.json:7250=[]; 6.json:3176=[]; 6.json:5845=['I10']; 6.json:6616=['I10']; 6.json:7966=[]; 7.json:2259=[]; 7.json:7930=['I10']; 7.json:8680=['I10']; 8.json:5029=['I10']; 8.json:9010=[]; 10.json:9145=['I10']; 10.json:10126=['I10']; 11.json:5769=[]; 11.json:9184=[]; 12.json:299=[]; 12.json:3095=[]; 13.json:2640=['I10']; 14.json:702=[]; 14.json:5731=[]; 14.json:10519=['I10']; 16.json:4375=[]; 17.json:7802=[]; 18.json:2116=[]; 19.json:1992=[]; 19.json:4826=[]; 20.json:8586=['I10']; 21.json:202=[]; 21.json:1588=['I10']; 21.json:2757=['I10']; 22.json:243=[]; 22.json:7600=[]; 23.json:4729=['I10']; 23.json:5477=['I10']; 24.json:168=[]; 25.json:7920=['I10']; 25.json:8617=['I10']; 26.json:3308=[]; 26.json:4673=[]; 26.json:7760=[]; 27.json:5074=[]; 27.json:7583=['I10']; 27.json:8184=['I10']; 28.json:2997=[]; 28.json:5894=['I10']; 28.json:7015=['I10']; 29.json:175=[]; 30.json:6435=[]; 31.json:11693=[]; 32.json:3038=[]; 33.json:293=['I10']; 33.json:2115=[]; 36.json:3624=[]; 37.json:3219=['I10']; 37.json:3933=['I10']; 38.json:947=[]; 38.json:1532=['I10']; 38.json:3179=['I10']; 39.json:3869=[]; 39.json:6596=[]; 40.json:4594=[]; 41.json:2584=[]; 41.json:13367=[]; 42.json:189=[]; 42.json:5983=['I10']; 43.json:153=[]; 43.json:7192=[]; 43.json:8573=[]; 46.json:4242=['I10']; 47.json:218=[]; 47.json:5125=['I10']; 47.json:5742=['I15.0']; 49.json:252=[]; 49.json:1598=[]; 51.json:6789=[]; 52.json:2061=[]; 53.json:4292=[]; 55.json:192=[]; 55.json:8893=[]; 56.json:1477=[]; 57.json:153=[]; 57.json:1934=[]; 57.json:4835=['I10']; 58.json:267=[]; 58.json:1380=[]; 59.json:236=[]; 59.json:2075=[]; 59.json:5187=[]; 59.json:6490=[]; 60.json:176=[]; 60.json:5382=[]; 62.json:2767=[]; 66.json:3130=[]; 66.json:4258=[]; 67.json:2700=[]; 68.json:233=['I10']; 69.json:222=[]; 71.json:4390=[]; 72.json:5627=[]; 73.json:4886=[]; 74.json:256=[]; 75.json:1456=[]; 75.json:3475=[]; 75.json:7820=[]; 75.json:8103=['I10']; 77.json:2129=[]; 79.json:1795=[]; 79.json:3235=[]; 79.json:7994=['I10']; 81.json:2456=['I10']; 81.json:3930=['I10']; 83.json:239=[]; 84.json:4148=['I10']; 84.json:4459=['I10']; 85.json:3748=[]; 85.json:11749=[]; 87.json:192=[]; 87.json:3991=[]; 87.json:6890=[]; 88.json:2388=[]; 88.json:6412=[]; 88.json:6899=[]; 88.json:10622=[]; 89.json:266=[]; 91.json:4395=['I10']; 91.json:5473=[]; 92.json:208=[]; 92.json:5958=[]; 93.json:210=[]; 93.json:3921=[]; 93.json:8540=[]; 96.json:3686=[]; 97.json:209=[]; 98.json:3939=[]; 98.json:8774=['I10']; 98.json:9383=['I10']; 99.json:8938=[]; 100.json:5124=[]
CHẨN_ĐOÁN,tang lipid mau,empty_vs_code,13,1,"{""[]"": 12, ""['E78.8']"": 1}",5.json:7234=[]; 18.json:2131=[]; 19.json:2007=[]; 26.json:3323=[]; 32.json:7169=['E78.8']; 43.json:7176=[]; 50.json:2307=[]; 60.json:5397=[]; 71.json:4405=[]; 75.json:1474=[]; 83.json:254=[]; 85.json:11733=[]; 88.json:2405=[]
CHẨN_ĐOÁN,tang men gan,empty_vs_code,3,1,"{""['R74.0']"": 1, ""[]"": 2}",7.json:8695=['R74.0']; 82.json:206=[]; 82.json:669=[]
CHẨN_ĐOÁN,thoat vi ben t gian tiep,empty_vs_code,2,1,"{""[]"": 1, ""['K40.9']"": 1}",76.json:6256=[]; 77.json:691=['K40.9']
CHẨN_ĐOÁN,tram cam,empty_vs_code,90,1,"{""[]"": 89, ""['F32.8']"": 1}",1.json:226=[]; 1.json:3530=[]; 3.json:4735=[]; 3.json:4894=[]; 5.json:276=[]; 5.json:5496=[]; 6.json:6884=[]; 10.json:4924=[]; 11.json:10937=[]; 11.json:13062=[]; 12.json:471=[]; 14.json:566=[]; 14.json:690=[]; 14.json:5795=[]; 15.json:10042=[]; 15.json:10145=[]; 16.json:7920=[]; 16.json:13559=[]; 16.json:13638=[]; 16.json:13638=[]; 20.json:8101=[]; 20.json:8350=[]; 20.json:8350=[]; 20.json:8350=[]; 20.json:8350=[]; 20.json:8350=[]; 23.json:7841=[]; 24.json:1462=[]; 25.json:393=[]; 27.json:1891=[]; 27.json:3704=[]; 28.json:4914=[]; 31.json:330=[]; 31.json:5058=[]; 33.json:12641=[]; 34.json:5709=[]; 36.json:244=['F32.8']; 37.json:217=[]; 37.json:1043=[]; 38.json:1270=[]; 41.json:9142=[]; 41.json:13402=[]; 42.json:6343=[]; 42.json:8493=[]; 42.json:8514=[]; 42.json:8604=[]; 43.json:9672=[]; 45.json:332=[]; 45.json:2344=[]; 46.json:2760=[]; 46.json:6083=[]; 47.json:7040=[]; 52.json:5570=[]; 55.json:1160=[]; 57.json:220=[]; 57.json:647=[]; 57.json:5819=[]; 58.json:7952=[]; 60.json:5416=[]; 60.json:8747=[]; 60.json:8747=[]; 63.json:1373=[]; 64.json:8666=[]; 64.json:8666=[]; 65.json:2954=[]; 71.json:6100=[]; 73.json:4901=[]; 73.json:6228=[]; 73.json:6344=[]; 76.json:97=[]; 76.json:165=[]; 76.json:308=[]; 79.json:4464=[]; 81.json:7406=[]; 82.json:141=[]; 87.json:1332=[]; 87.json:8318=[]; 89.json:2536=[]; 89.json:3560=[]; 92.json:6404=[]; 94.json:4634=[]; 94.json:6315=[]; 95.json:1917=[]; 96.json:7511=[]; 99.json:1526=[]; 99.json:2073=[]; 99.json:3528=[]; 99.json:3593=[]; 99.json:6172=[]; 100.json:6597=[]
CHẨN_ĐOÁN,tran dich mang ngoai tim,empty_vs_code,2,0,"{""['I31.3']"": 1, ""[]"": 1}",4.json:2231=['I31.3']; 48.json:3158=[]
CHẨN_ĐOÁN,viem da day,empty_vs_code,2,1,"{""[]"": 1, ""['K29.6']"": 1}",60.json:7755=[]; 63.json:3269=['K29.6']
CHẨN_ĐOÁN,viem gan b,empty+multiple_codes,4,2,"{""['B18.10']"": 1, ""['B18.1']"": 1, ""[]"": 2}",25.json:7908=['B18.10']; 64.json:2780=['B18.1']; 82.json:4755=[]; 97.json:7061=[]
CHẨN_ĐOÁN,viem phoi,empty_vs_code,7,0,"{""[]"": 4, ""['J18.9']"": 3}",4.json:12091=[]; 6.json:5059=[]; 15.json:2295=['J18.9']; 22.json:4324=[]; 25.json:8588=['J18.9']; 27.json:1514=[]; 37.json:3921=['J18.9']
CHẨN_ĐOÁN,viem ruot thua,empty_vs_code,2,1,"{""[]"": 1, ""['K37']"": 1}",53.json:4733=[]; 78.json:3810=['K37']
CHẨN_ĐOÁN,viem tuy cap,different_codes,2,1,"{""['K85.8']"": 1, ""['K85.9']"": 1}",3.json:2262=['K85.8']; 55.json:3695=['K85.9']
CHẨN_ĐOÁN,viem tuy hoai tu,empty_vs_code,2,1,"{""[]"": 1, ""['G37.4']"": 1}",29.json:7247=[]; 65.json:2604=['G37.4']
CHẨN_ĐOÁN,xo gan,empty+multiple_codes,10,2,"{""['K74.6']"": 1, ""[]"": 8, ""['K70.3']"": 1}",4.json:1254=['K74.6']; 16.json:4392=[]; 32.json:840=[]; 46.json:120=[]; 67.json:1924=[]; 69.json:4794=[]; 74.json:5411=['K70.3']; 76.json:4287=[]; 90.json:370=[]; 95.json:3389=[]
CHẨN_ĐOÁN,xuat huyet tieu hoa,empty_vs_code,4,0,"{""[]"": 1, ""['K92.2']"": 3}",10.json:12215=[]; 15.json:1652=['K92.2']; 15.json:2239=['K92.2']; 63.json:4483=['K92.2']
THUỐC,aspirin 81 mg,empty_vs_code,6,1,"{""['315431']"": 5, ""[]"": 1}",2.json:5751=['315431']; 6.json:6640=['315431']; 9.json:4053=['315431']; 13.json:3289=['315431']; 35.json:1412=[]; 68.json:746=['315431']
THUỐC,daptomycin,empty_vs_code,2,1,"{""['22299']"": 1, ""[]"": 1}",32.json:6041=['22299']; 32.json:6503=[]
THUỐC,lasix,empty_vs_code,3,0,"{""['202991']"": 1, ""[]"": 2}",22.json:3739=['202991']; 86.json:3304=[]; 89.json:5414=[]
THUỐC,lovenox,empty_vs_code,3,1,"{""['225036']"": 2, ""[]"": 1}",27.json:1197=['225036']; 27.json:1470=['225036']; 90.json:6784=[]
THUỐC,papaverin,empty_vs_code,4,1,"{""['203132']"": 1, ""[]"": 3}",48.json:2777=['203132']; 49.json:6673=[]; 59.json:3775=[]; 61.json:3401=[]
THUỐC,paracetamol,empty_vs_code,5,2,"{""['161']"": 3, ""[]"": 2}",53.json:9552=['161']; 85.json:412=['161']; 92.json:2953=[]; 96.json:463=[]; 97.json:5884=['161']
THUỐC,phenobarbital,empty_vs_code,2,1,"{""[]"": 1, ""['8134']"": 1}",42.json:6949=[]; 42.json:7053=['8134']
THUỐC,sulbactam,empty_vs_code,3,2,"{""[]"": 2, ""['10167']"": 1}",49.json:6510=[]; 50.json:7705=['10167']; 59.json:3613=[]
